,B,C,D,E,F,L,A,,Basal,index_all
"phoA,hprK,carB,atpB_2,group",0.060606061,0.060606061,0,0,0.096721311,0,0,0.217933433,0.947447447,0.585158372
"phoA,hprK,mntB,carB,group",0.060606061,0,0,0,0.158469945,0,0.005277045,0.224353051,0.965465465,0.587048148
"phoA,hprK,carB,plsY,group",0.060606061,0,0,0,0.158469945,0,0.005277045,0.224353051,0.945945946,0.586976524
"phoA,hprK,mfd,carB,group",0.060606061,0,0,0,0.18852459,0,0.005277045,0.254407696,0.966966967,0.587356683
"phoA,hprK,carB,aroA,group",0.060606061,0,0,0,0.18852459,0,0.005277045,0.254407696,0.959459459,0.587329135
"phoA,hprK,carB,obgE,group",0.060606061,0,0,0,0.18852459,0,0.005277045,0.254407696,0.947447447,0.587285059
"phoA,hprK,fhuA_2~~~fhuA_1,carB,group",0.060606061,0,0,0,0.186885246,0,0.010540129,0.258031436,0.965465465,0.589417255
"phoA,hprK,mntC,carB,group",0.060606061,0,0,0.090909091,0.096721311,0,0.010540129,0.258776592,0.965465465,0.588623879
"phoA,hprK,ctaA,atpB_2,group",0.060606061,0.060606061,0,0,0.127868852,0,0.021010456,0.27009143,0.938438438,0.593753271
"phoA,clpB,carB,atpB_2,group",0,0.119318182,0,0,0.127868852,0,0.026203739,0.273390773,0.926426426,0.595764257
"phoA,hprK,carB,gatA,group",0.060606061,0.060606061,0,0,0.127868852,0,0.026161857,0.275242831,0.945945946,0.59511413
"phoA,hprK,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.127868852,0,0.026161857,0.275242831,0.938438438,0.595791805
"phoA,hprK,mntB,ctaA,group",0.060606061,0,0,0,0.18852459,0,0.026231659,0.27536231,0.951951952,0.595593461
"phoA,hprK,ctaA,plsY,group",0.060606061,0,0,0,0.18852459,0,0.026231659,0.27536231,0.936936937,0.595538366
"phoA,hprK,rpoC,carB,group",0.060606061,0.060606061,0,0,0.158469945,0,0,0.279682067,0.965465465,0.585141843
"phoA,hprK,carB,prfA,group",0.060606061,0.060606061,0,0,0.158469945,0,0,0.279682067,0.947447447,0.585780951
"phoA,clpB,mntB,carB,group",0,0.060606061,0,0,0.18852459,0,0.031410981,0.280541632,0.954954955,0.597637505
"phoA,clpB,carB,plsY,group",0,0.060606061,0,0,0.18852459,0,0.031410981,0.280541632,0.936936937,0.59757139
"phoA,hprK,trkA,atpB_2,group",0.119318182,0.060606061,0,0,0.096721311,0,0.005277045,0.281922599,0.942942943,0.587400759
"phoA,hprK,rnc,atpB_2,group",0.060606061,0.060606061,0,0,0.157923497,0,0.005277045,0.284412663,0.938438438,0.587830504
"phoA,hprK,typA,atpB_2,group",0.060606061,0.060606061,0,0,0.157923497,0,0.005277045,0.284412663,0.938438438,0.587830504
"phoA,hprK,pitA,carB,group",0.060606061,0,0,0.090909091,0.127868852,0,0.005277045,0.284661049,0.959459459,0.586833275
"phoA,hprK,mntB,atpB_2,group",0.060606061,0.060606061,0,0,0.158469945,0,0.005277045,0.284959111,0.956456456,0.587902128
"phoA,hprK,plsY,atpB_2,group",0.060606061,0.060606061,0,0,0.158469945,0,0.005277045,0.284959111,0.938438438,0.587836014
"phoA,hprK,murD,atpB_2,group",0.060606061,0.060606061,0,0,0.127868852,0,0.036590303,0.285671277,0.938438438,0.599918459
"phoA,hprK,mntB,trkA,group",0.119318182,0,0,0,0.158469945,0,0.010540129,0.288328256,0.962462462,0.589312573
"phoA,hprK,trkA,plsY,group",0.119318182,0,0,0,0.158469945,0,0.010540129,0.288328256,0.941441441,0.58923544
"phoA,hprK,mntB,rnc,group",0.060606061,0,0,0,0.217486339,0,0.010540129,0.288632529,0.960960961,0.589709261
