,gene_group,B,C,D,E,F,L,A,,Basal,index_all
3992,"phoA,hprK,carB,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.127868852,0,0.026161857,0.275242831,0.947447447,0.595824862
4068,"phoA,hprK,mntB,carB,atpB_2,group",0.060606061,0.060606061,0,0,0.158469945,0,0.005277045,0.284959111,0.966966967,0.587940695
2516,"phoA,hprK,carB,plsY,atpB_2,group",0.060606061,0.060606061,0,0,0.158469945,0,0.005277045,0.284959111,0.947447447,0.587869071
4592,"phoA,hprK,murD,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.127868852,0,0.062263545,0.311344519,0.938438438,0.61007807
3438,"phoA,hprK,mfd,carB,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.005277045,0.315013756,0.968468468,0.58824923
2476,"phoA,hprK,carB,aroA,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.005277045,0.315013756,0.959459459,0.588216173
4032,"phoA,hprK,carB,obgE,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.005277045,0.315013756,0.947447447,0.588172096
3228,"phoA,hprK,fhuA_2~~~fhuA_1,carB,atpB_2,group",0.060606061,0.060606061,0,0,0.186885246,0,0.010540129,0.318637496,0.966966967,0.590309802
4278,"phoA,hprK,mntC,carB,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.096721311,0,0.010540129,0.319382653,0.966966967,0.589516427
3265,"phoA,hprK,fhuA_2~~~fhuA_1,carB,murC,group",0.119318182,0,0,0,0.186885246,0,0.015789253,0.321992681,0.966966967,0.591692699
2146,"phoA,hprK,mntC,carB,plsY,group",0.060606061,0,0,0.090909091,0.158469945,0,0.015789253,0.32577435,0.965465465,0.591323559
4232,"phoA,hprK,ctaA,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.158469945,0,0.046893105,0.326575172,0.938438438,0.604304061
4052,"phoA,hprK,carB,scrB,atpB_2,group",0.119318182,0.060606061,0,0,0.127868852,0,0.021010456,0.328803551,0.962462462,0.59401222
1472,"phoA,clpB,carB,gatA,atpB_2,group",0,0.119318182,0,0,0.158469945,0,0.052016585,0.329804712,0.926426426,0.606287499
3998,"phoA,hprK,carB,gatA,prfA,group",0.060606061,0.060606061,0,0,0.18852459,0,0.026161857,0.335898569,0.947447447,0.596436423
4088,"phoA,hprK,mntB,ctaA,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.026231659,0.335968371,0.962462462,0.596519066
2636,"phoA,hprK,ctaA,plsY,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.026231659,0.335968371,0.938438438,0.596430913
4698,"phoA,hprK,rpoC,carB,atpB_2,group",0.060606061,0.119318182,0,0,0.158469945,0,0,0.338394188,0.966966967,0.586028881
1468,"phoA,hprK,trkA,gatA,atpB_2,group",0.119318182,0.060606061,0,0,0.127868852,0,0.0313691,0.339162195,0.942942943,0.598039702
1968,"phoA,clpB,mntB,carB,atpB_2,group",0,0.119318182,0,0,0.18852459,0,0.031410981,0.339253753,0.956456456,0.59854658
1256,"phoA,clpB,carB,plsY,atpB_2,group",0,0.119318182,0,0,0.18852459,0,0.031410981,0.339253753,0.938438438,0.598480466
1348,"phoA,hprK,rnc,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.187978142,0,0.0313691,0.340559363,0.938438438,0.598458428
1588,"phoA,hprK,typA,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.187978142,0,0.0313691,0.340559363,0.938438438,0.598458428
4270,"phoA,hprK,mntB,carB,gatA,group",0.060606061,0.060606061,0,0,0.18852459,0,0.0313691,0.341105811,0.965465465,0.597857887
3144,"phoA,hprK,plsY,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.0313691,0.341105811,0.938438438,0.598463937
1916,"phoA,hprK,mntB,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.0313691,0.341105811,0.962462462,0.59855209
1534,"phoA,hprK,carB,plsY,gatA,group",0.060606061,0.060606061,0,0,0.18852459,0,0.0313691,0.341105811,0.945945946,0.597786262
4488,"phoA,hprK,pitA,carB,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.005277045,0.345267109,0.960960961,0.587725823
4258,"phoA,hprK,mntB,trkA,atpB_2,group",0.119318182,0.060606061,0,0,0.158469945,0,0.010540129,0.348934317,0.963963964,0.590183082
3656,"phoA,hprK,trkA,plsY,atpB_2,group",0.119318182,0.060606061,0,0,0.158469945,0,0.010540129,0.348934317,0.942942943,0.590105949
3648,"phoA,hprK,mnh_A1,carB,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.010540129,0.350530194,0.966966967,0.589830471
4496,"phoA,hprK,pitA,carB,tdk,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.010540129,0.350530194,0.960960961,0.589808433
2272,"phoA,hprK,pitA,carB,plsY,group",0.060606061,0,0,0.090909091,0.18852459,0,0.010540129,0.350579871,0.959459459,0.589527446
268,"phoA,hprK,pknB,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.041741704,0.351478415,0.938438438,0.602568553
4118,"phoA,hprK,mntB,murD,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.041769625,0.351506336,0.962462462,0.602667725
2816,"phoA,hprK,murD,plsY,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.041769625,0.351506336,0.938438438,0.602579572
1768,"phoA,hprK,mnh_A1,carB,plsY,group",0.060606061,0,0,0.090909091,0.18852459,0,0.015789253,0.355828995,0.965465465,0.591626585
2142,"phoA,hprK,mntC,carB,aroA,group",0.060606061,0,0,0.090909091,0.18852459,0,0.015789253,0.355828995,0.96996997,0.591643113
4526,"phoA,hprK,mntC,carB,obgE,group",0.060606061,0,0,0.090909091,0.18852459,0,0.015789253,0.355828995,0.966966967,0.591632094
4228,"pmi,hprK,carB,gatA,atpB_2,group",0.060606061,0.119318182,0,0,0.127868852,0,0.052030545,0.35982364,0.938438438,0.608408676
2072,"phoA,clpB,murD,gatA,atpB_2,group",0,0.119318182,0,0,0.158469945,0,0.087629658,0.365417785,0.915915916,0.620342363
388,"phoA,hprK,pnpA,gatA,atpB_2,group",0.119318182,0.060606061,0,0,0.158469945,0,0.0313691,0.369763288,0.942942943,0.598348237
868,"phoA,hprK,pycA,gatA,atpB_2,group",0.119318182,0.060606061,0,0,0.158469945,0,0.0313691,0.369763288,0.938438438,0.598331708
