name	type	start	stop	strand
acsA2	CDS	769224	769623	+
addB	CDS	2368882	2369281	-
arlR	CDS	1850604	1851003	+
aroA	CDS	1773809	1774208	+
aspS	CDS	1632311	1632710	+
atpB_2	CDS	1261765	1262164	+
betA	CDS	762796	763195	+
capB	CDS	862217	862616	+
carB	CDS	2095659	2096058	-
cidC	CDS	850255	850654	+
clpB	CDS	2356985	2357384	-
clpP	CDS	2458991	2459390	-
ctaA	CDS	2170242	2170641	+
dltD	CDS	2401726	2402125	-
emrA	CDS	1036887	1037286	+
fabG_2	CDS	2063133	2063532	-
fbpA	CDS	2090193	2090592	+
ftsZ	CDS	2112698	2113097	-
gatA	CDS	1376781	1377180	+
glpD	CDS	1976737	1977136	-
gntK_1	CDS	904372	904771	+
gudB_1	CDS	2380264	2380663	-
hisS	CDS	1630081	1630480	+
hprK	CDS	2467068	2467467	-
mfd	CDS	234087	234486	-
mntB	CDS	76630	77029	+
mntC	CDS	77395	77794	+
murD	CDS	2116769	2117168	-
ndk	CDS	1770785	1771184	+
nrdF	CDS	2496450	2496849	-
obgE	CDS	1614232	1614631	+
parE	CDS	1920133	1920532	-
pbpA	CDS	2120410	2120809	-
pcrA	CDS	1370675	1371074	+
pdhD	CDS	2190670	2191069	-
phoA	CDS	728140	728539	-
pitA	CDS	44113	44512	-
pknB	CDS	2077709	2078108	-
plsY	CDS	1920938	1921337	+
pnpA	CDS	2010768	2011167	-
polC	CDS	2020565	2020964	-
ppnK	CDS	2335376	2335775	-
prfA	CDS	1249587	1249986	+
priA	CDS	2085895	2086294	-
proC	CDS	1744457	1744856	-
purL	CDS	2220581	2220980	-
pycA	CDS	2173440	2173839	-
qoxA	CDS	2227586	2227985	+
rluB	CDS	1751527	1751926	+
rnc	CDS	2061425	2061824	-
rnr	CDS	2443845	2444244	-
rpoB	CDS	178418	178817	-
secA	CDS	2478631	2479030	-
secY_2	CDS	1153129	1153528	+
slyA	CDS	721221	721620	+
trkA	CDS	2200621	2201020	-
trmU	CDS	1639530	1639929	+
typA	CDS	2178653	2179052	-
uvrB	CDS	2472598	2472997	-
wecG	CDS	73298	73697	-
yqfL_1	CDS	773681	774080	+

